scenario,dataset,model,attack,attack_mode,partition,intensity,clean_accuracy_mean,clean_accuracy_std,clean_accuracy_min,clean_accuracy_max,attacked_accuracy_mean,attacked_accuracy_std,attacked_accuracy_min,attacked_accuracy_max,accuracy_drop_pp_mean,accuracy_drop_pp_std,accuracy_drop_pp_min,accuracy_drop_pp_max,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_min,attack_success_rate_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,positive_recall_mean,positive_recall_std,positive_recall_min,positive_recall_max,f1_mean,f1_std,f1_min,f1_max,n,seeds
s1,breast_cancer,logistic_regression,poisoning,symmetric,-,0.300000,0.970175,0.020195,0.938596,0.991228,0.887719,0.019017,0.859649,0.903509,8.245614,3.258627,3.508772,12.280702,,,,,0.871429,0.016082,0.854167,0.893849,0.809524,0.033672,0.785714,0.857143,0.841944,0.022197,0.813953,0.867470,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,poisoning,symmetric,-,0.400000,0.970175,0.020195,0.938596,0.991228,0.743860,0.016873,0.728070,0.771930,22.631579,2.732002,19.298246,25.438596,,,,,0.730754,0.021087,0.700397,0.759921,0.680953,0.052164,0.595238,0.714286,0.661423,0.028828,0.617284,0.697674,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,poisoning,targeted,-,0.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,0.061905,0.059761,0.023810,0.166667,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,poisoning,targeted,-,0.050000,0.970175,0.020195,0.938596,0.991228,0.950877,0.014678,0.938596,0.973684,1.929825,1.143720,0.000000,2.631579,0.119048,0.037646,0.071429,0.166667,0.936310,0.019204,0.916667,0.964286,0.880952,0.037646,0.833333,0.928571,0.929344,0.022143,0.909091,0.962963,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,poisoning,targeted,-,0.100000,0.970175,0.020195,0.938596,0.991228,0.943859,0.010001,0.929825,0.956140,2.631579,1.641078,0.877193,4.385965,0.142857,0.029160,0.119048,0.190476,0.925794,0.013628,0.904762,0.940476,0.857143,0.029160,0.809524,0.880952,0.918183,0.015886,0.894737,0.936709,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,poisoning,targeted,-,0.200000,0.970175,0.020195,0.938596,0.991228,0.915790,0.022018,0.877193,0.929825,5.438597,0.960917,4.385965,6.140351,0.228571,0.059761,0.190476,0.333333,0.885714,0.029881,0.833333,0.904762,0.771429,0.059761,0.666667,0.809524,0.869895,0.039761,0.800000,0.894737,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,poisoning,targeted,-,0.300000,0.970175,0.020195,0.938596,0.991228,0.870175,0.034757,0.824561,0.903509,10.000000,3.076435,6.140351,14.035088,0.352381,0.094341,0.261905,0.476190,0.823810,0.047171,0.761905,0.869048,0.647619,0.094341,0.523810,0.738095,0.782864,0.071250,0.687500,0.849315,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,poisoning,targeted,-,0.400000,0.970175,0.020195,0.938596,0.991228,0.807018,0.020572,0.789474,0.833333,16.315790,2.370045,13.157895,19.298246,0.523810,0.055839,0.452381,0.571429,0.738095,0.027919,0.714286,0.773810,0.476190,0.055839,0.428571,0.547619,0.643629,0.050654,0.600000,0.707692,5,"0,1,2,3,4"
s1,digits,logistic_regression,backdoor,trigger,-,0.000000,0.970000,0.007454,0.963889,0.980556,0.970000,0.007454,0.963889,0.980556,0.000000,0.000000,0.000000,0.000000,0.095180,0.028080,0.061728,0.135802,0.969941,0.007471,0.963876,0.980547,0.969941,0.007471,0.963876,0.980547,0.970025,0.007467,0.963871,0.980609,5,"0,1,2,3,4"
s1,digits,logistic_regression,backdoor,trigger,-,0.010000,0.970000,0.007454,0.963889,0.980556,0.962778,0.005760,0.952778,0.966667,0.722222,0.668977,0.000000,1.388889,0.662642,0.099793,0.512346,0.767802,0.962591,0.005734,0.952598,0.966495,0.962591,0.005734,0.952598,0.966495,0.962712,0.005854,0.952490,0.966550,5,"0,1,2,3,4"
s1,digits,logistic_regression,backdoor,trigger,-,0.020000,0.970000,0.007454,0.963889,0.980556,0.958333,0.007349,0.950000,0.969444,1.166667,0.534316,0.555556,1.944444,0.743531,0.065995,0.681115,0.839009,0.958082,0.007340,0.949899,0.969352,0.958082,0.007340,0.949899,0.969352,0.958244,0.007414,0.949619,0.969433,5,"0,1,2,3,4"
s1,digits,logistic_regression,backdoor,trigger,-,0.050000,0.970000,0.007454,0.963889,0.980556,0.953889,0.007505,0.944444,0.963889,1.611111,1.201208,0.000000,3.055556,0.901105,0.015975,0.879257,0.913580,0.953635,0.007333,0.944494,0.963567,0.953635,0.007333,0.944494,0.963567,0.953987,0.007387,0.944584,0.964018,5,"0,1,2,3,4"
s1,digits,logistic_regression,backdoor,trigger,-,0.100000,0.970000,0.007454,0.963889,0.980556,0.953889,0.011883,0.941667,0.966667,1.611111,1.278985,0.000000,3.333333,0.951177,0.013869,0.932099,0.966049,0.953666,0.011860,0.941332,0.966186,0.953666,0.011860,0.941332,0.966186,0.954101,0.011725,0.941959,0.966567,5,"0,1,2,3,4"
s1,digits,logistic_regression,backdoor,trigger,-,0.200000,0.970000,0.007454,0.963889,0.980556,0.947778,0.005343,0.938889,0.952778,2.222222,0.555556,1.388889,2.777778,0.980849,0.011824,0.962963,0.990741,0.947491,0.005294,0.938700,0.952368,0.947491,0.005294,0.938700,0.952368,0.948278,0.005416,0.939370,0.953379,5,"0,1,2,3,4"
s1,digits,logistic_regression,evasion,fgsm,-,0.000000,0.970000,0.007454,0.963889,0.980556,0.970000,0.007454,0.963889,0.980556,0.000000,0.000000,0.000000,0.000000,,,,,0.969941,0.007471,0.963876,0.980547,0.969941,0.007471,0.963876,0.980547,0.970025,0.007467,0.963871,0.980609,5,"0,1,2,3,4"
s1,digits,logistic_regression,evasion,fgsm,-,0.100000,0.970000,0.007454,0.963889,0.980556,0.862222,0.015290,0.850000,0.888889,10.777778,1.380530,8.611111,12.222222,0.111111,0.014130,0.088319,0.124646,0.861886,0.015542,0.849013,0.888837,0.861886,0.015542,0.849013,0.888837,0.862423,0.015520,0.850425,0.889552,5,"0,1,2,3,4"
s1,digits,logistic_regression,evasion,fgsm,-,0.250000,0.970000,0.007454,0.963889,0.980556,0.472222,0.028532,0.436111,0.502778,49.777778,2.199537,47.222222,52.777778,0.513314,0.026049,0.484330,0.547550,0.472175,0.029072,0.435940,0.503185,0.472175,0.029072,0.435940,0.503185,0.483484,0.025422,0.454209,0.512213,5,"0,1,2,3,4"
s1,digits,logistic_regression,evasion,fgsm,-,0.500000,0.970000,0.007454,0.963889,0.980556,0.033889,0.010830,0.016667,0.044444,93.611111,1.162028,91.944444,94.722222,0.965077,0.011159,0.953890,0.982709,0.033921,0.010863,0.016667,0.044524,0.033921,0.010863,0.016667,0.044524,0.043288,0.011829,0.023767,0.054041,5,"0,1,2,3,4"
s1,digits,logistic_regression,evasion,fgsm,-,1.000000,0.970000,0.007454,0.963889,0.980556,0.000000,0.000000,0.000000,0.000000,97.000000,0.745356,96.388889,98.055556,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5,"0,1,2,3,4"
s1,digits,logistic_regression,extraction,label_only,-,0.000000,0.970000,0.007454,0.963889,0.980556,0.970000,0.007454,0.963889,0.980556,0.000000,0.000000,0.000000,0.000000,,,,,0.969941,0.007471,0.963876,0.980547,0.969941,0.007471,0.963876,0.980547,0.970025,0.007467,0.963871,0.980609,5,"0,1,2,3,4"
s1,digits,logistic_regression,extraction,label_only,-,10.000000,0.970000,0.007454,0.963889,0.980556,0.176111,0.041323,0.119444,0.233333,79.388889,3.499338,74.722222,84.444444,0.172778,0.045871,0.113889,0.238889,0.177694,0.041442,0.121358,0.235064,0.177694,0.041442,0.121358,0.235064,0.097459,0.032508,0.059567,0.130929,5,"0,1,2,3,4"
s1,digits,logistic_regression,extraction,label_only,-,25.000000,0.970000,0.007454,0.963889,0.980556,0.276111,0.080522,0.147222,0.347222,69.388889,7.746465,61.944444,81.666667,0.274444,0.081612,0.147222,0.347222,0.277434,0.079587,0.149704,0.344972,0.277434,0.079587,0.149704,0.344972,0.200172,0.055445,0.118337,0.254055,5,"0,1,2,3,4"
s1,digits,logistic_regression,extraction,label_only,-,50.000000,0.970000,0.007454,0.963889,0.980556,0.413889,0.086847,0.294444,0.525000,55.611111,8.596313,44.166667,66.944444,0.411667,0.083735,0.288889,0.508333,0.416190,0.085899,0.298584,0.525461,0.416190,0.085899,0.298584,0.525461,0.352053,0.083521,0.241139,0.459925,5,"0,1,2,3,4"
s1,digits,logistic_regression,extraction,label_only,-,100.000000,0.970000,0.007454,0.963889,0.980556,0.541666,0.043257,0.483333,0.597222,42.833333,4.454849,36.666667,48.055556,0.542222,0.043674,0.486111,0.602778,0.543625,0.042284,0.486223,0.597992,0.543625,0.042284,0.486223,0.597992,0.502405,0.041344,0.453264,0.549422,5,"0,1,2,3,4"
